family	coverage
hormone_rec	0.0
dNK	0.0
cyt5	0.0
Antifreeze	0.0
tRNA-synt_1d_M	0.0
Orbi_VP7	0.0
SSB	0.0
GSH_synthase_NC	0.0
MHC_II_alpha_NC	0.0
CCP_MauG_NC	0.0
LIM	0.0
Clp_N	0.0
MIF	0.0
MIP	0.0
protg	0.0
Methyltransf_2	0.0
SAM	0.0
MCR_beta_N	0.0
PRK	0.0
AP_endonucleas1	0.0
GSH_synth_ATP	0.0
MoCF_biosynth	0.0
pcd	0.0
lh2	0.0
PEP-utilizers_C	0.0
Dala_Dala_ligas	0.0
Ribosomal_S5	0.0
bromodomain	0.0
DAHP_synth_1	0.0
tRNA-synt_1	0.0
Glu_syn_central	0.0
TPR	0.0
Asp_Glu_race_D	0.0
URO-D	0.0
Fe_Asc_oxidored	0.0
hom	0.0
adeno_fiber	0.0
Ribosomal_S8	0.0
MCR_alpha	0.0
A2M_B	0.0
Orn_Arg_deC_NC	0.0
FHA	0.0
KSI	0.0
igvar-l	0.0
cyto	0.0
cytc	0.0
recombinase	0.0
PKD	0.0
histone	0.0
GATA	0.0
ech	0.0
mmo	0.0
Ribosomal_S5_N	0.0
eIF-5a	0.0
Ribosomal_S7	0.0
e3	0.0
ATP-synt_g	0.0
Arginosuc_synth	0.0
TyrKc	0.0
lta	0.0
PAP2	0.0
lyase_1	0.0
LIF_OSM	0.0
pgk	0.0
DNA_pol_B_exo	0.0
ALBUMIN	0.0
EF_TS	0.0
CH	0.0
il10	0.0
trans_reg_C	0.0
UPP_synthetase	0.0
IRF	0.0
CYCc	0.0
tbpc	0.0
B	0.0
Recep_L_domain	0.0
ABC_tran	0.0
bac_lipase	0.0
alk_phosphatase	0.0
DHOdehase	0.0
CARD	0.0
bontoxilysin	0.0
cyclin	0.0
sti	0.0
MHC_II_C	0.0
Fe_hyd_SSU	0.0
SpoU_methylase_C	0.0
PDZ	0.0
GerE	0.0
citrate_synt	0.0
RuvA	0.0
BIR	0.0
tRNA-synt_1d_C	0.0
F5_F8_type_C	0.0
annexin	0.0
TonB_dep_Rec	0.0
PHBH	0.0
EF1BD	0.0
TRANSTHYRETIN	0.0
Dehydratase_SU	0.0
Ribosomal_S30AE	0.0
F_bP_aldolase	0.0
PAS	0.0
ghf46	0.0
PAX	0.0
arrestin_C	0.0
PAC	0.0
DNA_pol3_beta	0.0
PAH	0.0
ghf7	0.0
ghf5	0.0
sh3	0.0
ghf2	0.0
ghf9	0.0
cpn10	0.0
SRP54M	0.0
cNMP	0.0
hip	0.0
DUF28	0.0
proteasome	0.0
fabp	0.0
SHMT	0.0
Glyco_transf_6	0.0
FA58C	0.0
ghf33	0.0
slectin	0.0
Band_41_N	0.0
TIL	0.0
G6PD_NC	0.0
APC10	0.0
AlaDh_PNT	0.0
FAA_hydrolase	0.0
DNA_ligase_N	0.0
Cu-oxidase	0.0
PARP	0.0
eIF6	0.0
Dwarfin	0.0
Ribosomal_S15	0.0
Ran_BP1	0.0
Kchannel	0.0
MM_CoA_mutase_N	0.0
CcmE	0.0
kex	0.0
PEPCK_ATP	0.0
cox	0.0
Ribosomal_L22	0.0
pdc	0.0
dutpase	0.0
pou	0.0
uce	0.0
AAA	0.0
Phage_lysozyme	0.0
Bac_DNA_binding	0.0
CBD_3	0.0
CBD_2	0.0
TNFR_c6	0.0
Cu_bind_like	0.0
Colicin	0.0
Exonuclease	0.0
E2_C	0.0
arrestin	0.0
C2	0.0
Ribosomal_L6_D	0.0
Ribosomal_L4	0.0
Ribosomal_L6	0.0
MutS_NC	0.0
Bac_rhodopsin	0.0
Ribosomal_L2	0.0
PMSR	0.0
Sec23_NC	0.0
NMT	0.0
MutS_C	0.0
Ribosomal_L2_C	0.0
MutS_N	0.0
Ribosomal_L2_N	0.0
kunitz	0.0
vprotease	0.0
adk	0.0
DNA_photolyase	0.0
Rhodanese	0.0
ADP_PFK_GK	0.0
Flavin_Reduct	0.0
PTS_EIIA_2	0.0
COX2	0.0
COX3	0.0
PCNA	0.0
gag_p17	0.0
Ham1p_like	0.0
SRP54	0.0
ccH	0.0
Acetyltransf2	0.0
nir	0.0
C1q	0.0
RNA_pol_K	0.0
Lum_binding	0.0
ngf	0.0
capsid_n	0.0
capsid_c	0.0
Cys_knot	0.0
Frataxin_Cyay	0.0
GHMP_kinases_C	0.0
AlaDh_PNT_D2	0.0
AlaDh_PNT_D1	0.0
Sec1	0.0
Sec7	0.0
rnr	0.0
TmpK	0.0
ETF_alpha	0.0
CoA_trans	0.0
pili_assembly	0.0
rvintegrase	0.0
CASc	0.0
MCR_beta_NC	0.0
Ribosomal_L14	0.0
Lyase_8_N	0.0
TrkA-N	0.0
GFP	0.0
serbact	0.0
GHMP_kinases	0.0
aminotran_4	0.0
dTDP_sugar_isom	0.0
voltage_CLC	0.0
Tymo_coat	0.0
CC4	0.0
UBX	0.0
Binary_toxA	0.0
Peptidase_S9	0.0
Cytidylyltransf	0.0
DEP	0.0
Orn_DAP_Arg_deC	0.0
Cytochrome_C1	0.0
NHase_alpha	0.0
rasgap	0.0
ghf28	0.0
HSF_DNA-bind	0.0
tms	0.0
Invasin	0.0
RuBisCO_large	0.0
Egg_lysin	0.0
mle	0.0
aadh	0.0
ChtBD	0.0
MYSc	0.0
G6PD	0.0
biotin_lipoyl	0.0
YgbB	0.0
DHquinase_II	0.0
tRNA-synt_2d	0.0
PARP_reg	0.0
QRPTase	0.0
ALAD	0.0
GATase	0.0
WD40	0.0
DNA_mis_repair_NM	0.0
reductases	0.0
pp-binding	0.0
Phage_G	0.0
RRF	0.0
NHase_beta	0.0
SLT_beta	0.0
oxidored_FMN	0.0
sdr	0.0
SAM_decarbox	0.0
MHC_II_beta_NC	0.0
DNA_methylase	0.0
AMP-binding	0.0
fer2	0.0
GGL	0.0
IMPDH	0.0
Hpr_kinase	0.0
Pectinesterase	0.0
LysR_substrate	0.0
utg	0.0
LEM	0.0
RNA_pol_A_CTD	0.0
cat3	0.0
Penicil_amidase	0.0
Hint	0.0
SCP2	0.0
VHS	0.0
rvt	0.0
Ricin_B_lectin	0.0
CBM_20	0.0
tRNA-synt_1b	0.0
tRNA-synt_1d	0.0
hpr	0.0
DAO	0.0
neur_chan_memb	0.0
tim	0.0
6PGD	0.0
S_100	0.0
UCR_14kD	0.0
arginase	0.0
DSPc	0.0
Asn_synthase	0.0
cks	0.0
ICL	0.0
svmp	0.0
Cytidylyl_trans	0.0
dCMP_cyt_deam	0.0
piplc	0.0
DHBP_synthase	0.0
Usp	0.0
Acetyltransf	0.0
TPK	0.0
rep	0.0
Dehydratase_LU	0.0232558139535
xia	0.0285714285714
aldosered	0.0322580645161
Glyco_hydro_48	0.0357142857143
Transaldolase	0.04
hexokinase	0.04
phs	0.0416666666667
Adenylsucc_synt	0.0454545454545
CMAS	0.0454545454545
Fe-ADH	0.0454545454545
COX1	0.047619047619
ARM	0.047619047619
KISc	0.047619047619
LRR	0.047619047619
CODH	0.05
glnasn	0.05
Cu_nir	0.05
serpin	0.05
hsp90	0.05
aakinase	0.0526315789474
NTP_transf_2	0.0526315789474
phosfruc	0.0526315789474
NTP_transf_2_N2	0.0526315789474
Pro_CA	0.0555555555556
aat	0.0555555555556
aldedh	0.0555555555556
icd	0.0555555555556
Phage_F	0.0555555555556
psaA_psaB	0.0588235294118
PA_phosphatase	0.0625
stpp	0.0666666666667
dpo1	0.0666666666667
mmob	0.0666666666667
malic	0.0666666666667
mmoa	0.0697674418605
Parvo_coat2	0.0714285714286
Ald_Xan_dh_2	0.0731707317073
mmp	0.0769230769231
Seedstore_7s	0.0769230769231
HPPK	0.0769230769231
mofe	0.0769230769231
ligase-CoA_NC	0.0769230769231
molybdopterin	0.0769230769231
Fapy_DNA_glyco	0.0833333333333
ATP-gua_Ptrans	0.0833333333333
ghf34	0.0833333333333
ferritin	0.0833333333333
ghf14	0.0909090909091
XPG_NC	0.0909090909091
Peptidase_M27	0.0909090909091
mdd	0.0909090909091
IFN-gamma	0.0909090909091
Fe_hyd_lg_C	0.0909090909091
Glyco_hydro_47	0.0909090909091
Esterase	0.0909090909091
Amidinotransferase	0.0909090909091
Glu_synth_NTN	0.0909090909091
THF_DHG_CYH	0.0909090909091
galpha	0.0952380952381
tln	0.0967741935484
cat	0.1
EFG_C	0.1
FAD-oxidase_NC	0.1
endotoxin	0.105263157895
Transglutamin_NC	0.111111111111
Peptidase_C15	0.111111111111
transketolase_PC	0.111111111111
PK	0.111111111111
ung	0.111111111111
flavbb	0.111111111111
ghf17	0.117647058824
Terpene_synth_NC	0.117647058824
lipoxygenase	0.119047619048
chorismate_bind	0.121212121212
LuxS	0.125
rrm	0.125
asp	0.125
RNase_HII	0.125
Trypan_glycop	0.125
thymid_phosphorylase	0.125
MCR_alpha_N	0.125
cpn60_TCP1	0.125
PGM_PMM_I	0.125
S-AdoMet_syntD2	0.125
bac_luciferase	0.125
biopterin_H	0.125
AFOR	0.130434782609
Pertussis_S2S3_NC	0.133333333333
Dehydratase_MU	0.133333333333
DHDPS	0.133333333333
DSBA	0.142857142857
PGM_PMM_NC	0.142857142857
Plectin	0.142857142857
Transglut_core	0.142857142857
ModA	0.142857142857
BChl_A	0.142857142857
Zn_dep_PLPC	0.142857142857
cyclo	0.142857142857
trp_syntA	0.142857142857
C4	0.142857142857
Malate_synthase	0.142857142857
FYVE	0.142857142857
grs	0.148148148148
malt_amylase_NC	0.166666666667
Cu_amine_oxid	0.166666666667
XPG_C	0.166666666667
gpr	0.166666666667
pnp	0.166666666667
IMS	0.166666666667
sugbp	0.166666666667
transketolase_C	0.166666666667
helicase_NC	0.166666666667
ADF	0.166666666667
gln-synt_NC	0.166666666667
urease	0.176470588235
Glyco_hydro_67	0.181818181818
ndk	0.181818181818
blm	0.181818181818
tubulin	0.181818181818
oxidored_q6	0.1875
GP120	0.1875
KAS	0.192307692308
Peripla_BP_2	0.2
GTP_cyclohydroI	0.2
FAD_binding	0.2
EFTU_C	0.2
Ferrochelatase	0.2
SNAP-25	0.2
TIMP	0.2
transketolase	0.2
Pep_deformylase	0.2
Glyco_transf_28	0.2
ENTH	0.2
G6PD_C	0.2
spidertoxin	0.2
int	0.2
Terpene_synth_N	0.2
PEP-utilizers_NC	0.2
Endonuclease_3	0.2
AhpC-TSA	0.2
alpha-amylase_N	0.2
mycin	0.2
abhydrolase_2	0.2
aminotran_5	0.210526315789
gln-synt	0.214285714286
GATase_2	0.222222222222
DNA_gyraseB_N2	0.222222222222
gdh	0.222222222222
FAD_binding_2	0.222222222222
Extradiol_dioxy	0.222222222222
Bacterial_PQQ	0.230769230769
ATP-synt	0.230769230769
fer4_NifH	0.238095238095
hemery	0.25
DNA_pol_B	0.25
Syntaxin	0.25
ghf15	0.25
THAUMATIN	0.25
transket_pyr	0.25
asprs	0.25
RNase_U2	0.25
VAT-N	0.25
Ribosomal_S5_C	0.25
Rib_hydrolayse	0.25
hemocyan	0.25
Dala_Dala_ligas_C	0.25
kinase	0.25
DEAD	0.25
CCP_MauG_C	0.25
ku	0.25
pentraxin	0.25
FAD_binding_5	0.25
T-box	0.25
sodcu	0.25
ins	0.25
Sulfatase	0.25
cytochr_c552	0.259259259259
Peptidase_M10A	0.260869565217
Pept_C1-like	0.263157894737
Bacteriofer	0.263157894737
ace	0.263157894737
flav	0.266666666667
glob	0.272727272727
PPDK_N_term	0.277777777778
PBP_C2	0.285714285714
TGT	0.285714285714
UCH	0.285714285714
Urease_beta	0.285714285714
oat	0.285714285714
Pertussis_S2S3_N	0.285714285714
PGM_PMM_III	0.285714285714
ppase	0.3
GXGXG	0.304347826087
Lipase_3	0.304347826087
ptpase	0.3125
DNA_gyraseB	0.3125
porin	0.3125
PGAM	0.315789473684
MCR_alpha_NC	0.317073170732
DUF153	0.333333333333
myb_DNA-binding	0.333333333333
Inh	0.333333333333
CDC48	0.333333333333
PSI_PsaE	0.333333333333
XPG_NI	0.333333333333
RrnaAD	0.333333333333
cystatin	0.333333333333
Spermine_synth	0.333333333333
DHPS	0.333333333333
FolB	0.333333333333
aspg	0.333333333333
PCI_1	0.333333333333
rhv	0.333333333333
fer4	0.333333333333
trfl	0.333333333333
HGTP_anticodon	0.333333333333
SPEC	0.333333333333
DnaJ	0.333333333333
SKI	0.333333333333
GEL	0.333333333333
Bac_globin	0.333333333333
tcl1_mtcp1	0.333333333333
Terpene_synth_C	0.333333333333
Rho_GDI	0.333333333333
Pyridox_oxidase	0.333333333333
hemopexin	0.333333333333
rnh	0.333333333333
p450	0.333333333333
FAD_binding_4	0.333333333333
OTCace	0.333333333333
PBP	0.333333333333
PCMT	0.333333333333
Glyco_hydro_18_D1	0.333333333333
merR	0.333333333333
CUB	0.333333333333
STAT	0.35
phc	0.352941176471
adh	0.357142857143
tRNA-synt_2b	0.375
UvrD-helicase	0.375
CytoC_RC	0.375
Ribonuclease_P	0.4
cah	0.4
Fz	0.4
RuBisCO_large_N	0.4
PABP	0.4
Aldolase_II	0.4
ligase-CoA	0.4
RGS	0.4
fn3	0.4
SIR2	0.4
Amino_oxidase	0.4
Ribosomal_L11	0.4
dhfr	0.4
SRF-TF	0.4
Peptidase_A6	0.411764705882
DHH	0.421052631579
cytb	0.428571428571
PotD	0.428571428571
aconitase	0.428571428571
fbpase	0.431818181818
Heme_oxygenase	0.434782608696
Nitrophorin	0.444444444444
PNTB	0.444444444444
sodfe	0.45
S-AdoMet_synt_NC	0.45
Hydrolase	0.466666666667
Peptidase_M17	0.466666666667
Glucosamine_iso	0.46875
Glyco_hydro_19	0.470588235294
ldh	0.478260869565
prc	0.487179487179
malic_C	0.5
PGM_PMM	0.5
Topoisomerase_I_core	0.5
rnase	0.5
Amino_oxidase_D1	0.5
INTERFERON_A_B_D	0.5
Peptidase_S15_N	0.5
Peptidase_S15	0.5
RNA_pol_H	0.5
Methyltransf_1	0.5
A2M_A	0.5
DeoC	0.5
HATPase_c	0.5
ANATO	0.5
Beta_elim_lyase	0.5
parv	0.5
Orn_Arg_deC_N	0.5
pro_aminopeptidase	0.5
DNA_topoisoIV	0.5
Histidine_kinase	0.5
GSH_synthase	0.5
VAT-Nn	0.5
enolase	0.5
5_3_exonuclease	0.5
N6_N4_Mtase	0.5
acyo	0.5
Glyco_hydro_2_N	0.5
Colicin_Pyocin	0.5
ATP-synt_DE_N	0.5
Ribosomal_L18p	0.5
PGM_PMM_II	0.5
UBQ	0.5
Ald_Xan_dh_1	0.5
formyl_transf	0.5
NusB	0.5
MATH	0.5
UPF0076	0.5
inositol_P	0.5
sigma54	0.5
ricin	0.521739130435
PBP_C1	0.529411764706
MAP1_LC3	0.538461538462
peroxidase	0.545454545455
Lipoprotein_6	0.551724137931
B_lectin	0.555555555556
tRNA-synt_1c	0.555555555556
Stap_Strp_toxin	0.5625
ghf11	0.565217391304
RuBisCO_small	0.571428571429
dpb	0.571428571429
Bet_v_I	0.578947368421
TMV_coat	0.590909090909
Glyco_hydro_20	0.6
gpdh	0.6
prt	0.6
GroEL	0.6
HTH_AraC	0.6
cbp	0.6
MAAL	0.612903225806
MAAL_C	0.615384615385
DMRL_synthase	0.615384615385
sh2	0.619047619048
az	0.619047619048
Astacin	0.625
Ribosomal_L12	0.625
6PF2K	0.64
Ribosomal_L1	0.647058823529
urease_gamma	0.65
gtp	0.65
ribokinase	0.666666666667
ETF_beta	0.666666666667
egf	0.666666666667
P-II	0.666666666667
cys	0.666666666667
S-AdoMet_synt	0.666666666667
RhoGAP	0.666666666667
kringle	0.666666666667
UPF0044	0.666666666667
phycoerythr_ab	0.666666666667
Rop	0.666666666667
ghf1	0.696428571429
leukocidin	0.698113207547
PAF-AH	0.702702702703
DHHA2	0.714285714286
PyrI	0.714285714286
isoamylase_NC	0.714285714286
hexapep	0.714285714286
aldose	0.717948717949
S-AdoMet_syntD3	0.727272727273
SBP_bacterial_1	0.733333333333
aabp	0.74358974359
helicase_C	0.745454545455
Peptidase_C2_D2	0.75
DNA_ligase	0.75
UCR_TM	0.75
TIG	0.758620689655
Peptidase_S15_C	0.764705882353
Me-amine-deh_L	0.766666666667
GLUCAGON	0.769230769231
L15	0.777777777778
DNA_PPF	0.777777777778
Tautomerase	0.777777777778
RuBisCO_large_NC	0.783333333333
TNF	0.791666666667
Pertussis_S2S3	0.793103448276
SIS	0.8
aminobp	0.8
ghf16	0.8
MDH	0.8
hla	0.8
Peptidase_C2	0.8
prenyltrans	0.8
PH	0.8
Topoisom_bac	0.8
E1_dehydrog	0.8
Fe_dep_repr_M	0.8
phosphotriesterase	0.8
rub	0.8
IU_nuc_hydro	0.802816901408
tgfb	0.807692307692
mdm2	0.818181818182
PyrI_NC	0.818181818182
gluts	0.820895522388
phoslip	0.823529411765
Integrase_Zn	0.833333333333
RHD	0.833333333333
MCR_beta	0.835443037975
rvp	0.836734693878
Band_41_M	0.851851851852
Apocytochrome_F	0.857142857143
cyt3	0.860465116279
MAAL_N	0.863636363636
profilin	0.869565217391
subt	0.870588235294
Cutinase	0.875
SpoU_methylase	0.875
Anperoxidase	0.875
igvar-h	0.875
Propep_M14	0.882352941176
cytochrome_b	0.884057971014
planttoxin	0.888888888889
alpha-amylase_C	0.888888888889
Jacalin	0.892857142857
rnasemam	0.894736842105
ltn	0.899224806202
acid_phosphat	0.904109589041
NADHdh_2	0.90625
LMWPc	0.906976744186
pec_lyase	0.909090909091
Arch_histone	0.909090909091
Toprim	0.909090909091
ghf22	0.915492957746
lipase	0.916666666667
HTH_AraC_2	0.916666666667
Cyclodex_gly_tran	0.916666666667
sermam	0.918699186992
Elicitin	0.918918918919
MSP_domain	0.921568627451
cpa	0.926605504587
alpha-amylase	0.92899408284
lamb	0.931297709924
csp	0.933333333333
ltb	0.939393939394
Transpeptidase	0.944444444444
hormone5	0.944444444444
scorptoxin	0.952380952381
cryst	0.955223880597
MHC_II_N	0.958333333333
intb	0.96
NTP_transf_2_2	0.985507246377
Sua5_yciO_yrdC	1.0
Inos-1-P_synth	1.0
Sm	1.0
response_reg	1.0
igC2	1.0
DNA_polymeraseX	1.0
ACPS	1.0
DISIN	1.0
internalin	1.0
Ala_racemase_N	1.0
tryp_alpha_amyl	1.0
zf-TAZ	1.0
MMOB	1.0
SpoU_methylase_N	1.0
GLA	1.0
S1	1.0
S4	1.0
EGF_Lam	1.0
zf-CCHC	1.0
DNA_mis_repair_M	1.0
Isochorismatase	1.0
WH1	1.0
PARATHYROID	1.0
RNA_dep_RNA_pol	1.0
Cucumo_coat	1.0
Flavoprotein	1.0
Agglutinin	1.0
Glyco_transf_8	1.0
Cys-protease-3C	1.0
Fe_dep_repress	1.0
tetR	1.0
ERM	1.0
RNA_pol_N	1.0
Skp1	1.0
toxin	1.0
P53	1.0
ACBP	1.0
Arg_repressor_N	1.0
dsrm	1.0
VPR	1.0
Thr_dehydrat_C	1.0
SAICAR_synt	1.0
Activin_recp	1.0
apbact	1.0
RA	1.0
mutT	1.0
SAP	1.0
7kD_DNA_binding	1.0
EPSP_syntase	1.0
S_T_dehydratase	1.0
SUI1	1.0
SAM_PNT	1.0
GHMP_kinases_N	1.0
FN2	1.0
FN1	1.0
DNA_ligase_C	1.0
integrase	1.0
STAS	1.0
MM_CoA_mutase	1.0
Glyco_hydro_20b	1.0
Rotamase	1.0
AP_endonuc_2	1.0
Ribosomal_L30	1.0
blmb	1.0
END	1.0
Glyco_hydro_2	1.0
HSP20	1.0
bowman	1.0
MGS	1.0
Mu_DNA_bind	1.0
CN_hydrolase	1.0
ISP	1.0
SET	1.0
RhoGEF	1.0
DEFSN	1.0
pilin	1.0
MBD	1.0
GFO_IDH_MocA	1.0
Lyase_8	1.0
mthinb	1.0
KH	1.0
isoamylase_N	1.0
hr	1.0
HMG-CoA_red	1.0
SLT	1.0
phero	1.0
Fork_head	1.0
Arthro_defensin	1.0
DEATH	1.0
cdh	1.0
WW	1.0
HMG_box	1.0
MurB_C	1.0
PAN	1.0
ghf6	1.0
DUF170	1.0
thiored	1.0
actin	1.0
DUF101	1.0
mthina	1.0
BRCT	1.0
VAT-Nc	1.0
Alpha_adaptinC2	1.0
il8	1.0
Chorismate_mut	1.0
Dala_Dala_ligas_N	1.0
DAP_epimerase	1.0
PX	1.0
Yers_vir_YopE	1.0
MIF4G	1.0
lipocalin	1.0
Mur_ligase	1.0
ets	1.0
Filamin	1.0
CIDE-N	1.0
ANK	1.0
pot	1.0
GAL4	1.0
chromo	1.0
WHEP-TRS	1.0
E2_N	1.0
C1	1.0
P	1.0
squash	1.0
neurotox	1.0
fkbp	1.0
kazal	1.0
DUF50	1.0
avi	1.0
Desulfoferrodox	1.0
toxin_2	1.0
igps	1.0
CBS	1.0
PDGF	1.0
Levi_coat	1.0
GAF	1.0
GAD	1.0
GFO_IDH_MocA_C	1.0
Huristasin	1.0
Thioesterase	1.0
TIR	1.0
OMPdecase	1.0
Alpha_adaptin_C	1.0
PPTA	1.0
Nitroreductase	1.0
Cyclotide	1.0
Mur_ligase_C	1.0
igcon	1.0
Glyco_hydro_18_D2	1.0
ribonuclease_T2	1.0
igC1	1.0
tyrosinase	1.0
PEP-utilizers	1.0
CAP_GLY	1.0
cbm12	1.0
SCP	1.0
Ribosomal_L5_NC	1.0
pp	1.0
PBD	1.0
CBD_6	1.0
Fimbrial	1.0
GBP_PSP	1.0
thionin	1.0
TFIIS	1.0
Furin-like	1.0
Peptidase_S24	1.0
thiolase	1.0
Phage_integrase	1.0
ACT	1.0
RING	1.0
seatoxin	1.0
IF4E	1.0
tRNA_bind	1.0
fusion_gly	1.0
linker_histone	1.0
zf-CCHH	1.0
Alpha_adaptinC12	1.0
igV	1.0
UPF0033	1.0
igI	1.0
Asn_synthase_NC	1.0
alpha-amylase_NC	1.0
CopC	1.0
START	1.0
Staphylokinase	1.0
